DataHora,Satelite,Pais,Estado,Municipio,Bioma,DiaSemChuva,Precipitacao,RiscoFogo,Latitude,Longitude,FRP
2021/12/05 16:54:00,AQUA_M-T,Brasil,MARANHÃO,CURURUPU,Amazônia,0.0,1.6,0.7,-1.88217,-44.78011,32.4
2021/12/05 16:54:00,AQUA_M-T,Brasil,MARANHÃO,BACABEIRA,Amazônia,0.0,1.7,0.1,-2.81971,-44.37572,13.2
2021/12/05 16:54:00,AQUA_M-T,Brasil,MARANHÃO,MORROS,Cerrado,0.0,0.2,0.4,-2.90678,-43.73172,20.6
2021/12/05 16:54:00,AQUA_M-T,Brasil,MARANHÃO,PRIMEIRA CRUZ,Cerrado,0.0,0.6,0.2,-2.97416,-43.39564,27.1
2021/12/05 16:54:00,AQUA_M-T,Brasil,MARANHÃO,PRESIDENTE SARNEY,Amazônia,6,1.6,0.3,-2.56348,-45.41696,8.5
2021/12/05 16:54:00,AQUA_M-T,Brasil,MARANHÃO,SANTA LUZIA DO PARUÁ,Amazônia,3,2.7,0.6,-2.57111,-45.86377,12.3
2021/12/05 16:54:00,AQUA_M-T,Brasil,MARANHÃO,PEDRO DO ROSÁRIO,Amazônia,0.0,0.1,1.0,-2.90062,-45.38713,70.5
2021/12/05 16:54:00,AQUA_M-T,Brasil,MARANHÃO,SÃO VICENTE FERRER,Amazônia,0.0,0.5,1.0,-2.93306,-44.9872,23.4
2021/12/05 16:54:00,AQUA_M-T,Brasil,MARANHÃO,ARAGUANÃ,Amazônia,0.0,0.1,1.0,-2.9814,-45.74828,21.4
2021/12/05 16:54:00,AQUA_M-T,Brasil,MARANHÃO,ARAGUANÃ,Amazônia,0.0,0.1,1.0,-2.98569,-45.7533,20.4
2021/12/04 16:11:00,AQUA_M-T,Brasil,MARANHÃO,SANTANA DO MARANHÃO,Cerrado,5,8.3,0.0,-3.32374,-42.60091,23.8
2021/12/04 16:11:00,AQUA_M-T,Brasil,MARANHÃO,LUÍS DOMINGUES,Amazônia,0.0,0.4,0.2,-1.37427,-45.90041,24.9
2021/12/04 16:11:00,AQUA_M-T,Brasil,MARANHÃO,AMAPÁ DO MARANHÃO,Amazônia,20,1.3,0.1,-1.64329,-45.86834,46.1
2021/12/04 16:11:00,AQUA_M-T,Brasil,MARANHÃO,ANAPURUS,Cerrado,2,8.8,0.0,-3.66775,-43.008,29.3
2021/12/04 16:11:00,AQUA_M-T,Brasil,MARANHÃO,AMAPÁ DO MARANHÃO,Amazônia,21,1.3,0.0,-1.64986,-45.86053,572.7
2021/12/04 16:11:00,AQUA_M-T,Brasil,MARANHÃO,AMAPÁ DO MARANHÃO,Amazônia,19,1.5,0.1,-1.65304,-45.88323,125.9
2021/12/04 16:11:00,AQUA_M-T,Brasil,MARANHÃO,AMAPÁ DO MARANHÃO,Amazônia,21,1.2,0.0,-1.6537,-45.84383,76.3
2021/12/04 16:11:00,AQUA_M-T,Brasil,MARANHÃO,AMAPÁ DO MARANHÃO,Amazônia,21,1.4,0.0,-1.65704,-45.86635,385.1
2021/12/04 16:11:00,AQUA_M-T,Brasil,MARANHÃO,PINHEIRO,Amazônia,0.0,0.4,0.7,-2.29851,-44.98622,21.4
2021/12/04 16:11:00,AQUA_M-T,Brasil,MARANHÃO,PAULINO NEVES,Cerrado,0.0,3.6,0.1,-2.83792,-42.48219,45.0
2021/12/04 16:11:00,AQUA_M-T,Brasil,MARANHÃO,TUTÓIA,Cerrado,0.0,3.3,0.2,-2.88961,-42.46152,109.2
2021/12/04 16:11:00,AQUA_M-T,Brasil,MARANHÃO,TUTÓIA,Cerrado,0.0,3.4,0.1,-2.89149,-42.47456,153.7
2021/12/04 16:11:00,AQUA_M-T,Brasil,MARANHÃO,TUTÓIA,Cerrado,0.0,3.4,0.1,-2.89443,-42.46867,249.2
2021/12/04 16:11:00,AQUA_M-T,Brasil,MARANHÃO,TUTÓIA,Cerrado,0.0,3.5,0.1,-2.89623,-42.48174,11.5
2021/12/04 16:11:00,AQUA_M-T,Brasil,MARANHÃO,TUTÓIA,Cerrado,0.0,3.6,0.1,-2.91749,-42.39917,17.8
2021/12/04 16:11:00,AQUA_M-T,Brasil,MARANHÃO,TUTÓIA,Cerrado,0.0,3.4,0.1,-2.9193,-42.41212,27.6
2021/12/04 16:11:00,AQUA_M-T,Brasil,MARANHÃO,ARAIOSES,Caatinga,0.0,1.5,0.7,-2.99407,-41.83938,119.6
2021/12/04 16:11:00,AQUA_M-T,Brasil,MARANHÃO,BARREIRINHAS,Cerrado,7,5.6,0.0,-3.00699,-43.03973,40.3
2021/12/04 16:11:00,AQUA_M-T,Brasil,MARANHÃO,ÁGUA DOCE DO MARANHÃO,Cerrado,0.0,3.0,0.0,-3.02085,-42.24756,12.6
